Table:          BSAD
Displayed Fields:   8 of   8        Fixed Columns:                 6      List Width 0250
------------------------------------------------------------------------------------------------------------------------------------------------------
| |Customer    |Clearing  |Clrng doc.|Document Number|Document Date|Document Type|Amount in LC    |Text                                              |
------------------------------------------------------------------------------------------------------------------------------------------------------
| |MRS242      |31.03.2016|0111509589|0111509589     |31.03.2016   |AB           |      64,201.03 |                                                  |
| |MRS242      |31.03.2016|0111509589|0111509589     |31.03.2016   |AB           |      81,005.06 |                                                  |
| |MRS242      |31.03.2016|0111509589|1400080536     |12.01.2016   |DZ           |      25,000.00 |                                                  |
| |MRS242      |31.03.2016|0111509589|2103007423     |28.08.2015   |GQ           |      73,720.02 |Voiamo_TI                                         |
| |MRS242      |31.03.2016|0111509589|2103027101     |30.09.2015   |GQ           |      30,270.16 |Voiamo_TI                                         |
| |MRS242      |31.03.2016|0111509589|2103043663     |31.10.2015   |GQ           |       1,298.00 |Voiamo_CLAW                                       |
| |MRS242      |31.03.2016|0111509589|2103043664     |31.10.2015   |GQ           |      61,251.71 |Voiamo_TI                                         |
| |MRS242      |31.03.2016|0111509589|0110808386     |01.08.2015   |AB           |       1,150.00 |Voiamo_crNotePostpaid_Tax (Balance of Credit Note)|
| |MRS242      |31.03.2016|0111509589|0110760293     |08.08.2015   |AB           |       2,860.44 |MONTHLY A/T CHARGES - MARCH 2015 (2102934020)     |
| |MRS242      |31.03.2016|0111509589|0110808386     |01.08.2015   |AB           |         748.44 |MONTHLY A/T CHARGES - FEB 2015 (2102896125)       |
| |MRS242      |31.03.2016|0111509589|0110864360     |15.09.2015   |AB           |       5,432.22 |MONTHLY A/T CHARGES - APRIL 2015 (2102951926)     |
| |MRS242      |31.03.2016|0111509589|0110891178     |23.09.2015   |AB           |       8,548.44 |MONTHLY A/T CHARGES - MAY 2015 (2102971888)       |
| |MRS242      |31.03.2016|0111509589|0110917501     |30.09.2015   |AB           |       3,635.87 |MONTHLY A/T CHARGES - JUNE 2015 (2102990834)      |
| |MRS242      |31.03.2016|0111509589|0110348113     |27.03.2015   |AB           |      68,201.16 |Overcharge Claim - Jul'14 to Nov'14 A/Time        |
| |MRS242      |31.03.2016|0111509589|1400080881     |02.03.2016   |DZ           |      25,000.00 |EFT 02.03.2016                                    |
| |MRS242      |31.03.2016|0111509589|1400079929     |02.10.2015   |DZ           |      25,000.00 |EFT 02.10.2015                                    |
| |MRS242      |31.03.2016|0111509589|1400079318     |03.07.2015   |DZ           |      25,000.00 |EFT 03.07.2015                                    |
| |MRS242      |31.03.2016|0111509589|1400079328     |07.07.2015   |DZ           |      25,000.00 |EFT 07.07.2015                                    |
| |MRS242      |31.03.2016|0111509589|0110088884     |31.12.2014   |AB           |           9.99 |Bank Fee                                          |
| |MRS242      |31.03.2016|0111509589|1400079975     |15.10.2015   |DZ           |      25,000.00 |EFT 15.10.2015                                    |
| |MRS242      |31.03.2016|0111509589|1400080766     |17.02.2016   |DZ           |      18,841.19 |EFT 17.02.2016                                    |
| |MRS242      |31.03.2016|0111509589|1400080974     |18.03.2016   |DZ           |      24,084.23 |EFT 18.03.2016                                    |
| |MRS242      |31.03.2016|0111509589|2102965600     |18.06.2015   |GQ           |      81,005.06 |Voiamdisputecredit                                |
| |MRS242      |11.05.2016|0111637943|0111509589     |31.03.2016   |AB           |      16,804.03 |Bal fwd                                           |
| |MRS242      |11.05.2016|0111637943|2103063796     |30.11.2015   |GQ           |         550.00 |Voiamo_CLAW                                       |
| |MRS242      |11.05.2016|0111637943|2103063797     |30.11.2015   |GQ           |      54,331.99 |Voiamo_TI                                         |
| |MRS242      |11.05.2016|0111637943|2103082742     |31.12.2015   |GQ           |          88.00 |Voiamo_CLAW                                       |
| |MRS242      |11.05.2016|0111637943|2103082743     |31.12.2015   |GQ           |      48,234.12 |Voiamo_TI                                         |
| |MRS242      |11.05.2016|0111637943|1400081137     |04.04.2016   |DZ           |      25,000.00 |EFT 04.04.2016                                    |
| |MRS242      |11.05.2016|0111637943|1400081375     |09.05.2016   |DZ           |      21,400.08 |EFT 09.05.2016                                    |
| |MRS242      |11.05.2016|0111637943|1400081213     |22.04.2016   |DZ           |      25,000.00 |EFT 22.04.2016                                    |
| |MRS242      |11.05.2016|0111637943|1400081116     |31.03.2016   |DZ           |      15,000.00 |EFT 31.03.2016                                    |
------------------------------------------------------------------------------------------------------------------------------------------------------
